Obs#,Time,Date,configName,configAuthor,remark,Pot,Row,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,,,,,,,,,,,,,,,,,
12,11:38:31,7/3/2023,Zach TIP2023,Zach Peagler,,3,2,0.626974,2.922424,0.516224,4.028491,2.386746,2.278352,3.129059,0.742313,23.27693,24.38435,31.968235,0.441786,PSF-01133_20230703113831,0,0,0,56.049229,250.401016,0.776162,0.5,0.8,42.679604,81.02,77.34,23.73,24.73,97.88,156.8,153.3,2.2,137,3.23,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
13,11:38:47,7/3/2023,Zach TIP2023,Zach Peagler,,4,2,1.142002,2.92132,0.821041,7.548146,2.513576,2.310556,3.386371,0.872795,23.604256,25.678276,34.594604,0.441786,PSF-01133_20230703113847,0,0,0,61.751602,276.230682,0.776449,0.5,0.8,31.431808,84.6,77.77,23.87,26.06,97.89,156.7,154.8,1.2,101,3.228,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
14,11:38:59,7/3/2023,Zach TIP2023,Zach Peagler,,5,2,0.731882,2.922294,0.585296,5.628749,2.488099,2.336787,3.401112,0.913013,23.873333,25.419176,34.746796,0.441786,PSF-01133_20230703113859,0,0,0,81.015945,316.066498,0.743674,0.5,0.8,104.46714,83.21,78.15,23.97,26.13,97.88,156.8,151.6,3.3,351,3.223,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
15,11:39:13,7/3/2023,Zach TIP2023,Zach Peagler,,6,2,1.141832,2.921283,0.82095,6.695562,2.543646,2.363624,3.318035,0.774389,24.148302,25.987526,33.899185,0.441786,PSF-01133_20230703113913,0,0,0,86.967941,347.685822,0.749866,0.5,0.8,101.665863,84.48,78.5,24.09,25.72,97.88,156.6,153,2.3,339,3.218,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
16,11:39:21,7/3/2023,Zach TIP2023,Zach Peagler,,7,2,0.95034,2.922271,0.717126,6.192657,2.546445,2.380067,3.366203,0.819758,24.314558,26.014261,34.38884,0.441786,PSF-01133_20230703113921,0,0,0,88.068726,371.068604,0.762662,0.5,0.8,75.984299,84.17,78.67,24.17,25.96,97.89,156.8,154.6,1.4,249,3.218,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
17,11:39:29,7/3/2023,Zach TIP2023,Zach Peagler,,8,2,0.79104,2.922362,0.62253,5.939108,2.553274,2.393727,3.458487,0.905213,24.453417,26.083294,35.330612,0.441786,PSF-01133_20230703113929,0,0,0,98.790405,394.840485,0.749797,0.5,0.8,86.091797,84.09,78.84,24.23,26.42,97.89,156.8,153.8,1.9,287,3.216,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
18,11:39:41,7/3/2023,Zach TIP2023,Zach Peagler,,1,3,0.830196,2.920199,0.646422,7.09787,2.604691,2.413779,3.645288,1.040598,24.656818,26.606987,37.236721,0.441786,PSF-01133_20230703113941,0,0,0,108.659508,391.345032,0.722343,0.5,0.8,73.322792,85.31,79.06,24.32,27.31,97.89,156.5,152.7,2.4,254,3.209,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
19,11:39:52,7/3/2023,Zach TIP2023,Zach Peagler,,2,3,1.213774,2.920712,0.857442,9.254343,2.683992,2.435407,3.705996,1.022004,24.879845,27.419359,37.860039,0.441786,PSF-01133_20230703113952,0,0,0,113.322975,406.213745,0.721026,0.5,0.8,90.161606,87.35,79.26,24.43,27.59,97.89,156.6,152.7,2.5,313,3.207,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
20,11:40:01,7/3/2023,Zach TIP2023,Zach Peagler,,3,3,0.999228,2.923453,0.744694,7.434979,2.650588,2.451224,3.596757,0.946169,25.039896,27.076445,36.74181,0.441786,PSF-01133_20230703114001,0,0,0,123.878357,441.434021,0.719373,0.5,0.8,64.331276,85.91,79.44,24.5,27.08,97.89,156.9,152.3,2.9,224,3.207,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
21,11:40:10,7/3/2023,Zach TIP2023,Zach Peagler,,4,3,1.232157,2.921657,0.866659,8.446056,2.691209,2.464505,3.614515,0.923306,25.175177,27.490982,36.922649,0.441786,PSF-01133_20230703114010,0,0,0,124.652985,461.951843,0.73016,0.5,0.8,81.921333,86.92,79.6,24.55,27.17,97.89,156.7,154.4,1.5,280,3.201,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
22,11:40:21,7/3/2023,Zach TIP2023,Zach Peagler,,5,3,0.86202,2.92173,0.665633,6.46175,2.654084,2.480576,3.574219,0.920136,25.338242,27.110565,36.509438,0.441786,PSF-01133_20230703114021,0,0,0,126.167175,453.890198,0.722032,0.5,0.8,66.118484,85.42,79.84,24.61,26.98,97.9,156.7,152.3,2.8,229,3.201,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
24,11:40:50,7/3/2023,Zach TIP2023,Zach Peagler,,6,3,1.683303,2.921991,1.068031,9.120086,2.758558,2.514035,3.567369,0.80881,25.684671,28.182848,36.446068,0.441786,PSF-01133_20230703114050,0,0,0,131.251938,505.565643,0.740386,0.5,0.8,44.535622,88.16,80.34,24.73,26.94,97.88,156.7,154.1,1.7,150,3.191,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
25,11:41:00,7/3/2023,Zach TIP2023,Zach Peagler,,7,3,0.911469,2.923628,0.694844,6.970932,2.711744,2.524991,3.661762,0.950017,25.796274,27.704216,37.409958,0.441786,PSF-01133_20230703114100,0,0,0,130.037064,442.018738,0.705811,0.5,0.8,66.864006,86.46,80.5,24.77,27.39,97.88,156.9,154.2,1.7,237,3.191,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
26,11:41:08,7/3/2023,Zach TIP2023,Zach Peagler,,8,3,0.678146,2.921382,0.550384,4.959381,2.667635,2.534468,3.521776,0.854141,25.892035,27.252466,35.978348,0.441786,PSF-01133_20230703114108,0,0,0,134.995224,473.286865,0.714771,0.5,0.8,96.358383,84.89,80.66,24.8,26.73,97.89,156.7,143.8,8.2,337,3.188,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
28,11:41:30,7/3/2023,Zach TIP2023,Zach Peagler,,1,4,3.555124,2.92132,1.603605,11.394171,2.862426,2.557117,3.535142,0.672716,26.126019,29.245356,36.118488,0.441786,PSF-01133_20230703114130,0,0,0,108.7929,449.41449,0.757923,0.5,0.8,82.155815,90.61,80.94,24.89,26.79,97.88,156.7,154.6,1.3,271,3.178,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
29,11:41:55,7/3/2023,Zach TIP2023,Zach Peagler,,2,4,4.074046,2.921564,1.701437,9.90794,2.846928,2.581467,3.39867,0.551742,26.376354,29.088726,34.7262,0.441786,PSF-01133_20230703114155,0,0,0,119.995239,502.310516,0.761113,0.5,0.8,74.577675,89.6,81.24,24.99,26.12,97.87,156.7,153.8,1.8,245,3.129,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
30,11:42:04,7/3/2023,Zach TIP2023,Zach Peagler,,3,4,1.005918,2.922072,0.748313,5.978659,2.753295,2.593018,3.51021,0.756915,26.494442,28.132097,35.865959,0.441786,PSF-01133_20230703114204,0,0,0,128.265732,497.541901,0.742201,0.5,0.8,92.121872,86.43,81.4,25.03,26.67,97.87,156.7,149.9,4.4,310,3.123,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
31,11:42:12,7/3/2023,Zach TIP2023,Zach Peagler,,4,4,1.28755,2.921551,0.893693,6.997462,2.789033,2.601432,3.530616,0.741582,26.579876,28.496672,36.073715,0.441786,PSF-01133_20230703114212,0,0,0,122.09594,441.762695,0.723616,0.5,0.8,79.95269,87.35,81.48,25.07,26.77,97.87,156.7,153.7,1.9,276,3.123,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
32,11:42:22,7/3/2023,Zach TIP2023,Zach Peagler,,5,4,0.943528,2.921244,0.71318,5.817573,2.76858,2.61254,3.541209,0.772629,26.693441,28.287764,36.182049,0.441786,PSF-01133_20230703114222,0,0,0,113.301514,479.703064,0.763809,0.5,0.8,42.765968,86.45,81.58,25.12,26.82,97.87,156.6,153.1,2.3,140,3.164,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
33,11:42:29,7/3/2023,Zach TIP2023,Zach Peagler,,6,4,0.832972,2.921921,0.648188,5.020198,2.756168,2.621567,3.490013,0.733845,26.785055,28.160297,35.658131,0.441786,PSF-01133_20230703114229,0,0,0,111.24015,443.34198,0.749087,0.5,0.8,73.429443,85.87,81.68,25.16,26.57,97.87,156.7,153.4,2.2,245,3.161,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
34,11:42:38,7/3/2023,Zach TIP2023,Zach Peagler,,7,4,0.86408,2.920618,0.666803,5.295641,2.774289,2.632187,3.526555,0.752265,26.894106,28.346022,36.032219,0.441786,PSF-01133_20230703114238,0,0,0,107.995392,434.234619,0.751297,0.5,0.8,112.369667,86.21,81.79,25.2,26.75,97.87,156.6,124,20.8,374,3.158,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
35,11:42:47,7/3/2023,Zach TIP2023,Zach Peagler,,8,4,1.028242,2.920178,0.760469,6.446063,2.81755,2.644593,3.619889,0.802339,27.02038,28.787521,36.985195,0.441786,PSF-01133_20230703114247,0,0,0,122.774361,477.874512,0.743082,0.5,0.8,112.171913,87.23,81.87,25.26,27.19,97.87,156.5,151,3.5,377,3.156,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
1,12:08:59,7/11/2023,Zach TIP2023,Zach Peagler,,1,1,0.427239,2.92139,0.372729,5.018062,2.322804,2.187573,3.600774,1.277971,22.348118,23.729622,36.78529,0.441786,PSF-01133_20230711120859,0,0,0,131.083847,428.281891,0.693931,0.5,0.8,89.79586,74.69,70.35,24.63,27.1,97.89,156.7,149.3,4.7,324,4.052,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
2,12:09:10,7/11/2023,Zach TIP2023,Zach Peagler,,2,1,0.513378,2.922004,0.436659,4.817649,2.338408,2.208663,3.386801,1.048393,22.563568,23.889036,34.599354,0.441786,PSF-01133_20230711120910,0,0,0,113.64019,437.941803,0.740513,0.5,0.8,54.164013,75.01,70.85,24.67,26.06,97.89,156.7,150,4.3,183,4.076,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
3,12:09:22,7/11/2023,Zach TIP2023,Zach Peagler,,3,1,0.439203,2.921649,0.381807,4.156693,2.355633,2.243684,3.38997,1.034337,22.922745,24.066481,34.63385,0.441786,PSF-01133_20230711120922,0,0,0,124.708771,453.993561,0.725307,0.5,0.8,73.432358,75.39,71.8,24.71,26.08,97.88,156.7,147.6,5.8,253,4.077,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
4,12:09:33,7/11/2023,Zach TIP2023,Zach Peagler,,4,1,0.499268,2.921198,0.426392,3.586644,2.368164,2.271536,3.168288,0.800125,23.205046,24.192154,32.365887,0.441786,PSF-01133_20230711120933,0,0,0,124.798897,493.871216,0.747305,0.5,0.8,93.02269,75.62,72.53,24.75,24.94,97.89,156.6,146.1,6.8,311,4.077,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
5,12:09:49,7/11/2023,Zach TIP2023,Zach Peagler,,5,1,0.446017,2.92118,0.386937,3.407602,2.393424,2.301638,3.230778,0.837354,23.511349,24.448948,33.002567,0.441786,PSF-01133_20230711120949,0,0,0,293.417572,559.200867,0.475291,0.5,0.8,59.64695,76.2,73.28,24.79,25.27,97.89,156.6,152.8,2.4,314,4.05,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
6,12:09:59,7/11/2023,Zach TIP2023,Zach Peagler,,6,1,0.328697,2.921542,0.295455,3.673611,2.3861,2.287178,3.566195,1.180095,23.365488,24.376066,36.431755,0.441786,PSF-01133_20230711120959,0,0,0,128.143433,411.180481,0.688352,0.5,0.8,102.147148,75.83,72.68,24.83,26.94,97.89,156.7,153.5,2.1,371,4.065,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
7,12:10:08,7/11/2023,Zach TIP2023,Zach Peagler,,7,1,0.273073,2.921726,0.249733,2.785476,2.38734,2.312347,3.446592,1.059252,23.623219,24.389357,35.210808,0.441786,PSF-01133_20230711121008,0,0,0,126.753685,422.464355,0.699966,0.5,0.8,110.443199,75.71,73.34,24.86,26.36,97.88,156.7,154.6,1.3,394,4.074,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
8,12:10:16,7/11/2023,Zach TIP2023,Zach Peagler,,8,1,0.288352,2.920936,0.262444,3.509691,2.399324,2.304787,3.667761,1.268436,23.546291,24.512104,37.470768,0.441786,PSF-01133_20230711121016,0,0,0,129.54068,432.344208,0.700376,0.5,0.8,88.247025,75.96,72.96,24.89,27.42,97.88,156.6,130.2,16.9,315,4.074,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
9,12:10:37,7/11/2023,Zach TIP2023,Zach Peagler,,1,2,0.457001,2.920217,0.39516,3.597564,2.406669,2.309724,3.271896,0.865227,23.598288,24.588768,33.428734,0.441786,PSF-01133_20230711121037,0,0,0,113.040802,428.258301,0.736045,0.5,0.8,96.209328,75.83,72.78,24.97,25.48,97.88,156.5,150.5,3.8,327,4.072,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
10,12:10:49,7/11/2023,Zach TIP2023,Zach Peagler,,2,2,0.466402,2.921958,0.402203,3.097184,2.387726,2.304361,3.120247,0.732521,23.542772,24.394484,31.878374,0.441786,PSF-01133_20230711121049,0,0,0,119.983437,521.518372,0.769934,0.5,0.8,45.120529,75.04,72.42,25.01,24.68,97.88,156.7,154,1.7,147,4.073,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
11,12:10:56,7/11/2023,Zach TIP2023,Zach Peagler,,3,2,0.470708,2.921695,0.405395,3.546761,2.395563,2.300086,3.227292,0.831729,23.49946,24.474926,32.972519,0.441786,PSF-01133_20230711121056,0,0,0,118.522171,454.880127,0.739443,0.5,0.8,84.99633,75.17,72.17,25.04,25.25,97.88,156.7,116.4,25.7,287,4.072,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
12,12:11:08,7/11/2023,Zach TIP2023,Zach Peagler,,4,2,0.32226,2.921349,0.290243,2.346143,2.363195,2.299995,3.13223,0.769035,23.49679,24.142447,31.998917,0.441786,PSF-01133_20230711121108,0,0,0,116.683243,496.461517,0.76497,0.5,0.8,69.662422,73.96,71.98,25.08,24.75,97.89,156.7,117,25.3,228,4.072,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
13,12:11:21,7/11/2023,Zach TIP2023,Zach Peagler,,5,2,0.169241,2.921465,0.159974,1.37285,2.339797,2.302807,3.156292,0.816496,23.524012,23.901878,32.24268,0.441786,PSF-01133_20230711121121,0,0,0,185.830948,540.182617,0.655985,0.5,0.8,77.509682,73.04,71.89,25.12,24.88,97.89,156.7,154.5,1.4,295,4.071,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
14,12:11:37,7/11/2023,Zach TIP2023,Zach Peagler,,6,2,0.137518,2.921927,0.131337,1.185082,2.346209,2.314291,3.204483,0.858274,23.640909,23.966951,32.734379,0.441786,PSF-01133_20230711121137,0,0,0,294.947144,600.265503,0.508639,0.5,0.8,42.832901,72.99,72,25.18,25.13,97.89,156.7,148.1,5.5,211,4.072,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
15,12:11:45,7/11/2023,Zach TIP2023,Zach Peagler,,7,2,0.239857,2.921819,0.22166,1.988181,2.356363,2.302816,3.209478,0.853114,23.523146,24.070129,32.784649,0.441786,PSF-01133_20230711121145,0,0,0,109.315041,495.562805,0.779412,0.5,0.8,65.477478,73.18,71.51,25.21,25.16,97.9,156.7,154.6,1.4,210,4.072,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
16,12:11:53,7/11/2023,Zach TIP2023,Zach Peagler,,8,2,0.289652,2.923023,0.263537,2.132178,2.367506,2.310146,3.137224,0.769718,23.599524,24.185493,32.048626,0.441786,PSF-01133_20230711121153,0,0,0,109.865425,491.378906,0.776414,0.5,0.8,46.076641,73.4,71.62,25.24,24.77,97.89,156.9,148.9,5.1,148,4.071,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
17,12:12:05,7/11/2023,Zach TIP2023,Zach Peagler,,1,3,0.236171,2.921813,0.218509,2.586406,2.405357,2.335742,3.528845,1.123488,23.862471,24.573671,36.051483,0.441786,PSF-01133_20230711121205,0,0,0,126.263741,442.753662,0.714822,0.5,0.8,87.094505,74.38,72.22,25.28,26.76,97.88,156.7,154,1.8,305,4.07,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
18,12:12:42,7/11/2023,Zach TIP2023,Zach Peagler,,2,3,0.283054,2.921429,0.258052,2.627046,2.455996,2.385308,3.422497,0.966501,24.370335,25.092546,34.967144,0.441786,PSF-01133_20230711121242,0,0,0,123.438118,432.820557,0.714805,0.5,0.8,70.35862,75.24,73.07,25.44,26.24,97.88,156.7,152,3,246,4.069,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
19,12:12:50,7/11/2023,Zach TIP2023,Zach Peagler,,3,3,0.434938,2.922094,0.378587,3.306667,2.490184,2.401285,3.319717,0.829533,24.532948,25.441193,33.916195,0.441786,PSF-01133_20230711121250,0,0,0,121.721863,441.816345,0.724497,0.5,0.8,60.677803,76.13,73.41,25.48,25.72,97.88,156.8,152.5,2.7,209,4.068,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
20,12:13:29,7/11/2023,Zach TIP2023,Zach Peagler,,4,3,0.157501,2.92213,0.149446,1.450289,2.40084,2.361819,3.322829,0.921989,24.132513,24.531225,33.951889,0.441786,PSF-01133_20230711121329,0,0,0,116.560219,444.746735,0.737918,0.5,0.8,67.53688,72.68,71.49,25.64,25.74,97.87,156.8,153,2.4,229,4.041,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
21,12:13:40,7/11/2023,Zach TIP2023,Zach Peagler,,5,3,0.089235,2.922718,0.086592,0.961072,2.38495,2.359099,3.43886,1.05391,24.104845,24.368982,35.137646,0.441786,PSF-01133_20230711121340,0,0,0,121.309875,437.088501,0.722459,0.5,0.8,77.972748,72,71.22,25.69,26.32,97.87,156.8,153,2.4,270,4.068,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
22,12:13:50,7/11/2023,Zach TIP2023,Zach Peagler,,6,3,0.251795,2.922888,0.231825,2.047529,2.438902,2.383864,3.278089,0.839186,24.356836,24.91918,33.493458,0.441786,PSF-01133_20230711121350,0,0,0,123.485329,438.216095,0.718209,0.5,0.8,50.93679,73.45,71.79,25.73,25.51,97.87,156.8,152.3,2.9,177,4.066,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
23,12:14:02,7/11/2023,Zach TIP2023,Zach Peagler,,7,3,0.286499,2.922502,0.26092,2.435583,2.460683,2.395208,3.347187,0.886504,24.472429,25.141401,34.199028,0.441786,PSF-01133_20230711121402,0,0,0,122.698547,448.72464,0.726562,0.5,0.8,68.751999,73.9,71.93,25.78,25.86,97.87,156.8,153.6,2,237,4.066,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
24,12:14:09,7/11/2023,Zach TIP2023,Zach Peagler,,8,3,0.136806,2.919916,0.130683,1.223345,2.395418,2.362442,3.285025,0.889607,24.138077,24.475006,33.564503,0.441786,PSF-01133_20230711121409,0,0,0,117.295143,425.650116,0.724433,0.5,0.8,80.597031,71.83,70.84,25.8,25.55,97.87,156.5,152.4,2.6,278,4.04,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
25,12:14:24,7/11/2023,Zach TIP2023,Zach Peagler,,1,4,0.009811,2.922084,0.009778,0.092794,2.3628,2.360302,3.264895,0.902095,24.116333,24.141855,33.358994,0.441786,PSF-01133_20230711121424,0,0,0,102.053406,433.454285,0.764558,0.5,0.8,72.483963,70.62,70.54,25.86,25.44,97.87,156.7,-0.4,100.2,237,4.066,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
26,12:14:39,7/11/2023,Zach TIP2023,Zach Peagler,,2,4,0.066946,2.921787,0.065446,0.514046,2.360377,2.346536,3.107621,0.747244,23.97611,24.117529,31.752621,0.441786,PSF-01133_20230711121439,0,0,0,113.317963,455.230591,0.751076,0.5,0.8,76.014877,70.3,69.89,25.92,24.62,97.87,156.7,154,1.7,253,4.039,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
27,12:14:49,7/11/2023,Zach TIP2023,Zach Peagler,,3,4,0.145091,2.920761,0.138224,1.021483,2.399276,2.371761,3.102218,0.702942,24.23354,24.514675,31.697004,0.441786,PSF-01133_20230711121449,0,0,0,109.71022,448.175659,0.755207,0.5,0.8,85.28643,71.31,70.49,25.95,24.59,97.87,156.6,150.7,3.7,282,4.065,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
28,12:14:59,7/11/2023,Zach TIP2023,Zach Peagler,,4,4,0.163822,2.920906,0.155122,1.211934,2.415596,2.382958,3.158525,0.742929,24.346085,24.679543,32.269859,0.441786,PSF-01133_20230711121459,0,0,0,111.078499,498.097656,0.776995,0.5,0.8,46.293854,71.64,70.67,25.99,24.89,97.88,156.6,154.3,1.5,149,4.057,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
29,12:15:07,7/11/2023,Zach TIP2023,Zach Peagler,,5,4,0.154989,2.92098,0.14718,1.090189,2.404155,2.374795,3.108726,0.704571,24.263237,24.563213,31.761803,0.441786,PSF-01133_20230711121507,0,0,0,109.724167,464.916931,0.763992,0.5,0.8,68.688324,71.18,70.31,26.02,24.62,97.88,156.6,152.4,2.7,225,4.057,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
30,12:15:20,7/11/2023,Zach TIP2023,Zach Peagler,,6,4,0.121064,2.921059,0.116246,0.72695,2.412706,2.39313,3.007858,0.595152,24.449511,24.649508,30.729897,0.441786,PSF-01133_20230711121520,0,0,0,107.381348,490.969055,0.781287,0.5,0.8,29.627645,71.23,70.66,26.06,24.07,97.88,156.6,153.3,2.1,95,4.064,12:08:53,7/11/2023,-1.91,,,,,,,,,,,,,,,,,
